english,portuguese
you,vocês
i,eu
the,a
to,para
a,uma
s,s
it,isto
and,e
that,este
t,t
of,do
is,é
in,dentro
what,o que
we,nós
me,Eu
this,isto
he,ele
for,por
my,minha
on,sobre
have,tenho
your,sua
do,Faz
was,foi
m,m
no,não
not,não
be,ser
are,são
don,vestir
re,ré
know,conhecer
can,posso
with,com
but,mas
all,tudo
so,assim
just,apenas
there,lá
here,aqui
they,elas
like,Curti
ll,ll
get,pegue
she,ela
go,vai
if,E se
right,certo
out,Fora
about,cerca de
up,acima
at,no
him,dele
now,agora
oh,oh
one,1
come,venha
well,Nós vamos
her,sua
how,Como as
yeah,sim
ve,ve
will,vai
got,pegou
want,querer
think,acho
as,Como
see,Vejo
did,fez
good,Boa
who,quem
why,Por quê
from,a partir de
let,deixar
his,seu
yes,sim
when,quando
going,indo
time,Tempo
an,um
okay,ok
back,de volta
look,olhar
us,nós
would,gostaria
them,eles
where,Onde
were,nós estamos
take,leva
then,então
had,teve
or,ou
been,estive
our,nosso
gonna,vai
tell,dizer
really,verdade
man,cara
some,algum
say,dizer
hey,Ei
could,poderia
d,d
didn,não
by,por
need,precisar
something,algo
has,tem
too,também
more,mais
way,caminho
down,baixa
make,faço
very,muito
never,Nunca
only,só
people,pessoas
over,sobre
because,Porque
little,pequena
please,por favor
love,amor
should,deve
mean,significa
said,disse
sorry,desculpe
give,dar
off,desligado
am,sou
thank,obrigado
any,algum
two,dois
even,até
much,Muito de
doing,fazendo
sure,claro
thing,coisa
these,esses
help,ajuda
first,primeiro
into,em
anything,nada
still,ainda
find,achar
life,vida
nothing,nada
sir,Senhor
day,dia
god,Deus
work,trabalhar
their,seus
uh,uh
again,novamente
maybe,pode ser
must,devo
before,antes da
other,outro
wait,esperar
stop,Pare
call,ligar
after,depois
won,Ganhou
talk,conversa
away,um jeito
than,do que
thought,pensamento
home,casa
night,noite
put,colocar
great,excelente
those,Essa
last,último
better,Melhor
everything,tudo
told,contou
mr.,Senhor.
new,novo
things,coisas
always,sempre
keep,guarda
long,grandes
years,anos
leave,sair
does,faz
money,dinheiro
around,por aí
doesn,não
name,nome
place,"Lugar, colocar"
ever,sempre
feel,sentir
guys,rapazes
father,pai
guy,cara
made,feito
old,velho
isn,isn
which,que
big,grande
lot,muito
done,feito
hello,olá
nice,legais
believe,acreditam
girl,menina
someone,alguém
fine,multar
thanks,obrigado
wanted,desejado
kind,Gentil
coming,chegando
house,lar
every,todo
ok,OK
through,Através dos
being,ser
course,curso
stay,fique
left,deixei
dad,Papai
enough,o suficiente
happened,ocorrido
came,veio
may,poderia
mother,mãe
wrong,errado
world,mundo
bad,mau
might,poderia
three,três
today,hoje
listen,ouço
another,outro
understand,Compreendo
hear,ouvir
remember,lembrar
ask,perguntar
own,ter
same,mesmo
show,mostrar
else,senão
kill,matar
talking,falando
found,encontrado
next,próximo
getting,recebendo
care,Cuidado
car,carro
looking,Procurando
son,filho
try,tentar
woman,mulher
went,fui
hi,Oi
dead,morto
many,muitos
mind,mente
wasn,não era
friend,amigo
best,melhor
mom,mamãe
hell,inferno
morning,manhã
trying,tentando
boy,Garoto
together,juntos
yourself,você mesma
job,trabalho
saw,viu
family,família
real,real
without,sem
baby,bebê
room,quarto
wouldn,não
already,já
move,jogada
most,a maioria
seen,visto
live,viver
miss,senhorita
actually,na realidade
huh,Hã
shit,merda
both,Ambas
heard,ouviu
once,uma vez
ready,pronto
head,cabeça
called,chamado
used,usado
idea,idéia
knew,sabia
hold,aguarde
happy,feliz
door,porta
such,tal
fuck,Porra
brother,irmão
also,também
pretty,bonito
bit,pedaço
took,tomou
haven,refúgio
yet,ainda
men,homens
whole,todo
start,começar
use,usar
while,enquanto
since,desde
wife,esposa
days,dias
guess,acho
tomorrow,amanhã
matter,matéria
meet,encontrar
bring,trazer
tonight,esta noite
everyone,todos
run,corre
wanna,quer
hard,duro
ah,Ah
alone,sozinho
myself,Eu mesmo
school,escola
gone,se foi
um,hum
end,fim
saying,ditado
phone,telefone
play,Toque
looks,parece
couldn,não poderia
fucking,Porra
problem,problema
few,alguns
friends,amigos
gotta,Tenho que
ago,atrás
open,abrir
anyone,alguém
killed,morto
hope,ter esperança
face,enfrentar
until,até
lost,perdido
police,polícia
excuse,com licença
turn,virar
business,o negócio
case,caso
wants,quer
says,diz
die,morrer
heart,coração
soon,em breve
each,cada
worry,preocupar
later,mais tarde
year,ano
watch,ver
music,música
hand,mão
having,tendo
probably,provavelmente
beautiful,lindo
doctor,médico
sit,sentar
eat,comer
thinking,pensamento
young,jovem
second,segundo
working,trabalhando
water,agua
person,pessoa
part,papel
kids,crianças
late,tarde
stuff,material
exactly,exatamente
under,debaixo
death,morte
minute,minuto
pay,pagar
crazy,louco
forget,esquecer
everybody,todo o mundo
kid,miúdo
change,mudança
gave,deram
happen,acontecer
damn,droga
five,cinco
drink,beber
far,distante
knows,sabe
its,Está
whatever,qualquer que seja
eyes,olhos
shut,fechar
aren,are
hit,acertar
taking,tirando
easy,fácil
times,vezes
check,Verifica
hands,mãos
minutes,minutos
deal,acordo
different,diferente
means,significa
point,ponto
inside,lado de dentro
makes,faz
asked,Perguntou
somebody,alguém
mine,minha
making,fazer
body,corpo
afraid,com medo
sleep,dorme
chance,chance
dear,caro
quite,bastante
four,quatro
anyway,de qualquer forma
close,perto
ain,Ain
party,Festa
fun,Diversão
against,contra
word,palavra
comes,vem
important,importante
set,definir
shall,deve
story,história
number,número
daughter,filha
least,ao menos
waiting,espera
hurt,ferir
wish,desejar
moment,momento
fight,lutar
week,semana
husband,esposo
girls,garotas
rest,descanso
married,casado
fire,incêndio
game,jogos
nobody,ninguém
mr,senhor
children,crianças
side,lado
stand,ficar
read,ler
though,no entanto
cut,cortar
started,iniciado
sister,irmã
supposed,suposto
between,entre
child,filho
goes,vai
hours,horas
speak,falar
women,mulheres
behind,atras do
almost,quase
truth,verdade
blood,sangue
able,capaz
lady,senhora
anymore,não mais
playing,jogando
gets,recebe
shot,tomada
reason,razão
trouble,problema
break,parar
war,guerra
city,cidade
walk,andar
town,Cidade
trust,Confiar em
dr.,dr.
met,conheceu
office,escritório
question,pergunta
brought,trouxeram
yours,Sua
welcome,Bem-vindo
high,Alto
wow,uau